sample_type	area_type	hab1	hab2	hab3	hab_depth	env_broad_curie	env_broad_label	env_local_curie	env_local_label	env_medium_curie	env_medium_label	curation_status	notes
Sediment	Natural	Freshwater	Standing freshwater		2	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake, Hard water	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake, Oligotrophic isoetid	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Saltwater	Fjords		2	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Fjords	Eelgrass fjord seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Fjords	Rocky fjord seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Fjords	Sandy fjord seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas		2	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Eelgrass coastal seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Estuaries	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Large shallow inlets and bays	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Mudflats and sandflats	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Reefs	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Rocky coastal seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Sandbanks	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Sandy coastal seabed	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Natural	Saltwater	Open sea and tidal areas	Submarine structures made by leaking gases	3	ENVO:00000447	marine biome	ENVO:00000485	sea shore	ENVO:03000033	marine sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Saltwater).
Sediment	Subterranean	Saltwater			1	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Fjords		2	ENVO:00000447	marine biome	ENVO:00000039	fjord	ENVO:03000033	marine sediment	refined	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Fjords	Mariager fjord	3	ENVO:00000447	marine biome	ENVO:00000039	fjord	ENVO:03000033	marine sediment	refined	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Oceanic	Atacama	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Oceanic	Kamchatska	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea		2	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea	Kattegat	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea	Skagerak	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea and tidal areas		2	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea and tidal areas	Aarhus Bay	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Subterranean	Saltwater	Open sea and tidal areas	Lillebælt	3	ENVO:00000447	marine biome	ENVO:00000016	sea	ENVO:03000033	marine sediment	carried_l1	hab2 (Open sea/Fjords/Oceanic) = open-sea benthic sediment; corrects L1 'cave'. marine biome/sea/fjord/marine sediment runoak-validated.
Sediment	Urban	Freshwater			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater	Enclosed water	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater	Enclosed water, Dried	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, Dried	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, Roadside	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000033	pond	ENVO:00002007	sediment	carried_l1	hab3 rainwater/retention basins -> pond (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Other			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Urban Other).
Sediment	Urban	Other	High chalk concentration (limestone mine site)		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Urban Other).
Sediment	Urban	Other	High salinity (saltworks)		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Urban Other).
Sediment	Urban	Saltwater			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:03000033	marine sediment	carried_l1	hab3 'Harbour, marina' -> harbour (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Saltwater	Flowing saltwater		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:03000033	marine sediment	carried_l1	hab3 'Harbour, marina' -> harbour (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Saltwater	Flowing saltwater	Harbour, marina scraped-off biofilm	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:03000033	marine sediment	carried_l1	hab3 'Harbour, marina' -> harbour (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Saltwater	Standing saltwater		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:03000033	marine sediment	carried_l1	hab3 'Harbour, marina' -> harbour (runoak-validated). Resolves the L1 env_local sentinel.
Sediment	Urban	Saltwater	Standing saltwater	Enclosed water	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:03000033	marine sediment	carried_l1	hab3 'Harbour, marina' -> harbour (runoak-validated). Resolves the L1 env_local sentinel.
Soil	Agriculture	Fields			1	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asparagales		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asparagales	Onion	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asterids		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asterids	Asterales, Lettuce	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asterids	Solanales, Potato, Other	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asterids	Solanales, Potato, Seed	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Fabales	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Fabales, Clover	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Fabales, Faba bean	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Fabales, Pea	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Rosales, Apple	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fabids	Rosales, Strawberry	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fallow		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fallow	Spring mowing	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fallow	Spring seeding	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fallow	Summer mowing	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Fallow	Uncultivated	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids	Brassicales, Cabbage	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids	Brassicales, Fodder radish	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids	Brassicales, Rapeseed	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids	Brassicales, Rapeseed, Spring	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Malvids	Brassicales, Rapeseed, Winter	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Catch crop, Fodder radish, Flower	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Cereal mix, Fodder radish	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Cereal mix, Legume plants	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Cereal mix, Mustard	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Flowering plant mix, Fodder radish, Mustard	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Grass, Clover Permanent	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Grass, Clover, Rotation	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Mixed crops	Legume mix	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal		2	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Barley	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring, Green grain	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Barley, Winter	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Maize	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Maize, Silage	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Oat	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Oat, Spring	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Oat, Spring, Green grain	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Rye, Spring, Green grain	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid (Triticale)	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Unknown cereal	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Wheat	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
Soil	Agriculture	Fields	Poales, Cereal	Wheat, Spring	3	ENVO:01000245	cropland biome	ENVO:00000114	agricultural field	ENVO:00002259	agricultural soil	carried_l1	Inherited hab1-level triple from L1 (Soil Agriculture Fields).
